ID,Att,Rate
StafMa00,727,79.8
BreeDr00,670,96.3
RomoTo00,648,90.5
BradTo00,637,98.7
LuckAn00,627,76.5
RyanMa00,615,99.1
MannPe00,583,105.8
PalmCa00,565,85.3
FreeJo00,558,81.6
RodgAa00,552,108
BradSa00,551,82.6
SchaMa00,544,90.7
MannEl00,536,87.2
FlacJo00,531,87.7
DaltAn00,528,87.4
RivePh00,527,88.6
WeedBr00,517,72.6
FitzRy00,505,83.3
NewtCa00,485,86.2
TannRy00,484,76.1
PondCh00,483,81.2
SancMa00,453,66.9
RoetBe00,449,97
CutlJa00,434,81.3
GrifRo01,393,102.4
WilsRu00,393,100
VickMi00,351,78.1
LockJa00,314,74
HennCh01,308,72.2
GabbBl00,278,77.4
CassMa00,277,66.7
FoleNi00,265,79.1
